term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.19901722862960627,0.05201698959856867,3.8260043529140053,1.3204737071563494e-4,0.19901722862960627,0.09706392901641167,0.3009705282428009
profile2,0.17965588677523786,0.15993878936350006,1.1232790212443453,0.26138033665096977,0.04930909879807397,-0.2641709283543861,0.3627891259505341
profile3,-0.17977977479484603,0.22566866465715427,-0.7966536916765796,0.4256951970385302,-0.03537868939829438,-0.47768927212631673,0.406931893329728
profile4,-0.1157811211974603,0.19220084301963014,-0.6023965315575394,0.5469412815916099,-0.028135501130517375,-0.40484915344899247,0.3485781511879577
age,-0.08544260251888577,0.015515225186712247,-5.507016591165022,3.8577342498334654e-8,-0.08515883673790586,-0.11556867810386187,-0.054748995371949855
sex,-0.07952595329418438,0.03211728113670546,-2.476111005651023,0.013319597396904692,-0.03972739968889038,-0.10267727071683308,0.023222471339052315
fas,0.16163212352735698,0.014634414276569266,11.044659558814148,5.412436858190022e-28,0.159902560336347,0.13121910835427125,0.18858601231842276
profile2:sex,-0.3187655418750404,0.11132834185448581,-2.863291921581748,0.004212480997909658,-0.12442861619597413,-0.3426321662307663,0.09377493383881806
profile3:sex,-0.2564641949364382,0.1482692669587783,-1.7297191804943648,0.08375063675528234,-0.0766749434334397,-0.3672827066726452,0.21393281980576576
profile4:sex,-0.31253170458350865,0.11928493015682658,-2.6200434889186437,0.00882208212916469,-0.12202566165902903,-0.3558241247664091,0.11177280144835106
